		
'121706570'	'761524432603144193'	'Una furgoneta se lleva por delante un camin y una terraza en pleno Casco Vello de Vigo\r\n'
'25141843'	'761626383823081473'	"'""#Rio2016 los juegos de la exclusin"" Manifestantes en Praa Senz Pea, Ro, horas antes de la inauguracin.\r\n'"
'417003912'	'763311474534191104'	'This cutie is OK (thank goodness!) after carjacking. @AudreyWSBTV talked to dad who left baby in car. 6am @wsbtv\r\n'
'409209936'	'763578195618701312'	'Makati streets look different without the usual gridlock. Can you tell us where this was taken? #MakeItHappen #Ma...\r\n'
'49741114'	'764567653436493824'	What Adam fails to mention is that that's an hourly rate.\r\n
'3065900255'	'757920303888666624'	'.@NH_Together rallying downtown Manchester to celebrate #DemsInPhilly ! #nhpolitics #4WARDfighters #603forHRC\r\n'
'14315150'	'764612549375655936'	'5 Characteristics of Weak Leaders\r\n'
'24111037'	'699491629145595904'	'Busy \r\n'
'28406270'	'741654209121124352'	'Yesterday we said bye to these absolute legends on #TheBigSick. @kurtbraunohler @aidybryant @boburnham. Amazing.\r\n'
'18812301'	'763807975815254017'	"'ICYMI: Former Secretary of Homeland Security Napolitano said she ""would worry every night"" about a Trump presidency..\r\n'"
'15585923'	'759437622477488128'	'21 @statesman photos from Texas balloon crash:\r\n'
'883735507'	'762462531336056832'	"'The PNP today officially launched the ""Tsip Bato: Ang Bumangga Giba!"" mobile app game. @ABSCBNNews @DZMMTeleRadyo\r\n'"
'993979350'	'608806835097903104'	'Good day #SixFlags\r\n'
'571106215'	'765382817970728961'	'7 Places you must see in Southern Wales! #TTOT @wonderfulwales @visitwales #WalesAdventure\r\n'
'143543242'	'757548216363745281'	"'""What Republican, after all, wouldn want a picture with Captain America?"". #RNCinCLE\r\n'"
'16012001'	'751065823477981184'	#tbt to last year's birthday when I drove a #Ferrari 458 Italia. It was definitely a dream come true!\r\n
'25027806'	'764676299235422209'	'Listen @THEREALSWIZZZ is a real one, he cared to ask which camera was mine. Lol #ilikearttypegirl #nocommission\r\n'
'1710881768'	'764846306548383746'	'OMG!  LOVE IT Dominican Festival 2016!  Boston\r\n'
'150230325'	'761485917836054529'	'City2Surf, a history of activewear!\r\n'
'79656941'	'759118359405428736'	'Popular autograph this weekend. @JeffGordonWeb\r\n'
'3030907252'	'765224201510875136'	.@KerryWashington's latest braid is absolutely perfect summer hair:\r\n
'91478624'	'764582305839079424'	'This 20-something couple is exercising their way to an early retirement\r\n'
'599503952'	'724007814583078912'	'Freckled Eyes\r\n'
'405667557'	'762518204275130368'	While Balochistan is celebrating #14Aug with an unparallel fervour, this is only an attempt to sabotage. Enemies won't succeed! #Quetta\r\n
'2980346320'	'731538822459056128'	Eddie Bauer meets hardcore fitness! Thx @LarissaR_IFBB  for your #TeaCrine shout-outs. You're an icon! #bodypower\r\n
'27736649'	'765488347359961088'	The 'cross season is coming and I'm having a new bike! I still get ridiculously excited at the prospect.\r\n
'52405861'	'762734176726609920'	'I love my cargos too\r\n'
'36184220'	'759841119026966528'	It's a Swiss, Swiss life\r\n
'18546354'	'716820139866329089'	'Militants troop to US Embassy, call for abrogation of Mutual Defense Treaty, VFA, EDCA\r\n'
'243276676'	'757334071705948160'	'Congrats @JohnForce_FC & the @Realtree/@peakauto team on the ?? today. It has been fun to watch this weekend.\r\n'
'29768451'	'758743557410697216'	I'm cmg up on @TMZLive w/ @askjillian & Charles talking about bomb squad call to @PhaedraParks office! #tonguetied ??\r\n
'506024283'	'685969081451675648'	'Chic AF #mercedesbenz #ces2016\r\n'
'34947001'	'757963734912491520'	'A little delay on the runway....\r\n'
'3128788177'	'762573255395844096'	'Ni kalau jpj nampak, dia suruh benti tepi sebab nak usap ja.\r\n'
'20015340'	'764175103936430080'	'#FBF: 9 of 10 quickest ETs in FC history happened in Seattle  @theplacetorace  3 of those belonging to @DHL_Del\r\n'
'3208752729'	'765206958794084352'	'YG Feat. Drake & Kamaiyah - Why You Always Hatin?\r\n'
'167207845'	'733082343942955009'	'Coming up in the western edition of @NBCNightlyNews, @OliviaSterns reports on #Facebook meeting with conservatives.\r\n'
'14982804'	'759796981652873216'	'When your job is your hobby. Shooting underwater today. Grateful to be able to play w/ friends. Happy Sunday to all!\r\n'
'548361380'	'764506196967559168'	Great to talk with @PGATOUR 's @KenTackett1 about @WyndhamChamp Course setup for our @WFMY Sports Specials\r\n
'115525572'	'764192275840630784'	'Georgia Tech to host Bowling Green in 2018, alters future schedules -\r\n'
'12794312'	'764229157777575936'	'Early-arriving #Bengals fans are reliving some tough memories. As part of an in-stadium...\r\n'
'41021335'	'765625937924911109'	'@timkaine and Gov Hunt greet at Fayetteville event. Both talked about their commitment to education. @HillaryforNC\r\n'
'29679737'	'761189198896386048'	'Time(less) machine. #quattro #tbt\r\n'
'1069017913'	'329712976603004928'	'Nap time on the car ride #wittlebaby\r\n'
'96689653'	'746108991298641920'	'New backdrop came in! See you tomorrow Kansas City/Merriam!\r\n'
'18192214'	'763854115323703296'	'Thank you to our #NYRRVols & #TeamNYRR for your help at this fun 5K! #R_U_N_5K #NYRR\r\n'
'234797156'	'763450774273818624'	'My man @WesDurham looking for his crane assignment. Nice boots!\r\n'
'743538714'	'765147635309244416'	'A lot can change in 10 years! @katieledecky with @MichaelPhelps in 2006 and today in Rio! #Rio2016 #RioTODAY\r\n'
'65624152'	'759470330310262784'	It's a good sign for busy tourism industry. Line up from Avonlea village to Cavendish corner. Great day on PEI.\r\n
'89563994'	'759722702877839361'	'A welcome home from vacation. Sunday morning. Staring into the abyss. @DCStreetcar #mcdean\r\n'
'355289751'	'709790865724727296'	'Baby Kate helping me keep pops tight @K_Kisner @duanebock @APinv\r\n'
'1558778941'	'764642471485792257'	'New Cap Alert . #placesplusfaces\r\n'
'886547701'	'723907069905121280'	'I want my moms jeep sooooooo bad ??\r\n'
'16381061'	'764141823929487361'	'Firefighters respond to blaze at #Hyannis restaurant #capecod\r\n'
'1263684318'	'764118682507223040'	'This is what makes travelling in India an unparalleled experience, in itself. #travelindia #hitchhiking #backpacking\r\n'
'143885868'	'510879635824214016'	'Volunteer Jordan with Sign #100 for @davejaworsky for Mayor of Waterloo\r\n'
'1262829996'	'754835329174106112'	'Wedding/honeymoon over, thank-you notes out? Consider meeting with a financial advisor re: your future.\r\n'
'206017634'	'622116672405676032'	Trailed this dog a few blocks, still isn't Morris\r\n
'9890492'	'764243578226810880'	'Love seeing a #vegan billboard in #TimesSquare!\r\n'
'1074554155'	'763124461193355270'	We're Excited to announce @PTPA Seal of Approval award for Tummy Shield! What testers said:\r\n
'108247668'	'759738178488053761'	'And here comes #Kimi7, third stop done #GermanGP #redseason\r\n'
'467726691'	'734850572180946945'	'Happy Monday from Tavern on the Green fabulous patio bar:)\r\n'
'4262073493'	'686631419888570368'	'Good Morning from Beverly Hills! #EHValetServices #ValetParking #LA #LosAngeles #Valet\r\n'
'81774795'	'762742398317322240'	?????? ladies got 'em a #crush ?? @thedarlinsmusic ? ?? ?? #playitforward\r\n
'2471381455'	'765350963427282944'	'These guys @opfreak15 @Jay_Mccollough2 BEAST #True19\r\n'
'608682237'	'757241681099890688'	'In #SDCC2016 final stretch - survival tip: @Converse + #Batman for the bounce\r\n'
'52902423'	'765318922446970881'	'Don play Pokemon Go and drive. Taking eyes off the road for more than 2 seconds doubles your risk of a crash.\r\n'
'101747410'	'752520771872944128'	Apparently, there's quite a few Pokmon around our office. Gotta catch 'em all. #PokemonGO\r\n
'26103360'	'763099841857675264'	'Enjoyed getting and giving support at Pink Ribbon Cowgirls @BCRCofTexas lunch @wholefoodsatx. #BreastCancerSurvivors\r\n'
'520057038'	'764540693641584640'	'Go time. #NASCAR\r\n'
'24871896'	'763648613914447872'	'#OnThisDay in 1991, the legendary Ayrton Senna won the #HungarianGP having led from the start. \r\n'
'26281808'	'757995489593790464'	'Thanks #whitehouse for words of @maria_m_town today celebrating ADA and pushing us forward #NCIL2016 #ADA26 @USICD\r\n'
'11877492'	'456124121244766208'	'RT @StarLedgerHS: Weather updates for all HS sports on Tuesday:\r\n'
'31699931'	'755342734827945984'	'#Kano business women step out to support #CompetitionBill in Nigeria\r\n'
'1583834370'	'676787354934218753'	Tomorrow w/ @Filtrexx, we'll be hosting a low impact development workshop for landscape profs. @OCStormwater\r\n
'89721713'	'735485773252841472'	'7th grader Max Chartier recently won the @United_FA U12 Soccer Tournament with his Concorde Fire team. Congrats Max!\r\n'
'28245852'	'759259138039898112'	'Thank you Hillsboro for coming out to laugh. This kid stole the show. Aiden said I made him proud to be Fluffy \r\n'
'2964195071'	'760455298037473281'	'Among NYC voters, governor gets higher job approval rating than mayor; 60% for Cuomo, 42% for de Blasio.\r\n'
'223269966'	'620818104701067264'	'@jarret_reaume #squad\r\n'
'346759019'	'760099828076580864'	Papa Pletcher celebrating Todd's 7 wins yesterday between Saratoga and Monmouth. ETP had 3 of those wins! #congrats\r\n
'91243832'	'718645318640738304'	'A new #Costco opened up near us in #taiwan\r\n'
'278219544'	'733342991289602050'	'Tammy + her great dane Stella just bid on the @taskrabbit #tinyhouse to support our work #atinytask #bigdogtinyhouse\r\n'
'248795646'	'764178525226237952'	'#CBSProf Evan Rawley says @Uber, @lyft users could see higher fares soon\r\n'
'1308945421'	'730785228604706817'	'With all the great places to eat in #NYC why the line out front of Chick-fil-a at least go to @Arbys @BilldeBlasio\r\n'
'1074554155'	'757013735491964928'	Do you still have travel plans for this summer? . Did you know you don't have to travel like this?\r\n
'23818581'	'765635401126072320'	'How local governments lock up and extort poor people over petty BS - part 1:\r\n'
'2998720004'	'763189819497340928'	'A5- Use public transportation (local) Meet new friends this way too! #WhereNext?\r\n'
'2911123874'	'761666387769110529'	'I missed my Tay!????\r\n'
'1657764978'	'763014065459453953'	'Share your #originalcontent on #tsu.\r\n'
'350020705'	'733035147604467712'	'Enjoyed spending time with my new pal Ethan and all the kids at today #EaglesBuild event at Disston School!\r\n'
'2180548910'	'701096833523650560'	'Back on the road. Minneapolis tonight! @cityofthesun #tour\r\n'
'45112524'	'760858139054964736'	'Peace\r\n'
'80677744'	'759094218958770176'	'Hope to see you again soon @sidowen5 :-) Your Friend, Jimmy @MasterChefUK\r\n'
'14561275'	'620624710661967872'	'ok\r\n'
'505238909'	'763087866175946753'	'Join me to win a 3-night vacation. San Jacinto Valley Twitter Party 8/9, 7pm ET #VisitSJV\r\n'
'726919186946084864'	'747624744107769856'	'Thanks javier for having heart beat of athletes.  Order today\r\n'
'14722311'	'759785610475245572'	'LOVE the attention to detail @elonmusk! I learn how to charge the #ModelX in the new vlog!\r\n'
'25049056'	'764386554970198016'	'Second suspect charged in connection with murder of French priest\r\n'
'2812033949'	'598909803847618560'	'the sign broke, but it was still the best promposal\r\n'
'35560614'	'527968626201362432'	'#WhatYouKnowAbouyMoneyGirl #StockPhoto #vegas\r\n'
'39927901'	'765155254753255424'	'Axact CEO Shoaib Shaikh granted bail after 15 months in custody\r\n'
'2246562063'	'738747491206729728'	'Retweet for left, favorite for right!! @kickthehabbit #kicksupply\r\n'
'167207845'	'744607695202770944'	'Our @NBCNightlyNews story tonight highlights a non-profit teaching teens life skills... one bike at a time. #Sonoma\r\n'
'525675430'	'758704405029924865'	'#TBT to the 2012 Pride Parade w/ Manny Malhotra! We will be in the parade this Sunday with @tweetem_up! #PrideWeek??\r\n'
'240915720'	'738757891621064704'	'A heart felt, heart breaking conversation with Camila Wright about the shooting that killed her husband.#11alive\r\n'
'116807864'	'461635385764753408'	'Spending the afternoon getting fitted today @CallawayGolf ...thanks for having me..i could live here...\r\n'
'2203457024'	'755123983582801920'	Bringing independence to our nation's wounded, critically ill and injured #veterans:\r\n
'2533374678'	'749805952346443776'	'Great Albert Lea parade today! Thank you to all those who walked with me! You rock!! #mnleg\r\n'
'16620225'	'321009926786928640'	Why can't @purrrah have a pink hummer limousine?\r\n
'433297321'	'751378152040062977'	An absolute pleasure to welcome @CHParkPhysio to the Designed2Move team yesterday - don't hit the wall though!\r\n
'3106341791'	'669930532520726528'	'Going to thanksgiving with your family like\r\n'
'12611642'	'764218921587056641'	'Never tell them your age! Today ThinkGeek HQ celebrated 17 years of awesomeness & geekdom.\r\n'
'49741114'	'745059698773102594'	'Just noticed Dad wearing a @reason t-shirt in this 1999 pic. We were at Fontana Raceway waiting to race stock cars\r\n'
'202054350'	'759015735192543232'	"'ICYMI: You can still watch ""The War on Drugs"" on our website: . Worth your time, promise!\r\n'"
'111299240'	'735792055734140928'	'Pobre RT @PabloHerreros: Qu poder tiene esta foto de Rajoy (La publica @elespanolcom y es de Leo Torres) #poltica\r\n'
'15736836'	'761995137513840641'	'North blotter: Irate woman goes on attack with mounted deer head, Chinese food\r\n'
'2306253116'	'719037405232128000'	'Crowds thicken at the security check for the VP debate #PiliPinasDebate2016 #TheFilipinoVotes\r\n'
'2573997659'	'666313603868442624'	'#MOOD\r\n'
'16887175'	'762305605029732352'	'Man clambers onto moving car and punches windscreen after drinking litre of vodka\r\n'
'505238909'	'762004162657878016'	'How to fly Lufthansa First Class 747-8 for $40 via @TravelWell4Less #travel #luxurytravel\r\n'
'23847000'	'760988996679847936'	'Check out our #A21 team at a youth conference in Norway last month!\r\n'
'189963921'	'706976955963277312'	'Pit stop on Mullholland. @FerrariUSA\r\n'
'732713847782531072'	'754339932626452480'	'We can do multiple cars at once!\r\n'
'44196397'	'759153112993017856'	'Some good guessing by @Jalopnik. The Tesla Minibus will be built on a Model X chassis. People density potential is surprisingly high.\r\n'
'845533752'	'733681358397157376'	'Bad accident reported by motorist on I-95 South by Exit 3. @seacoastonline @FostersDailyDem\r\n'
'722856909749899264'	'746973030400786432'	'HAPPENING NOW: @Atlanta_Police investigating a fatal shooting on Hamilton E.Holmes Drive. More on @wsbtv at 6am.\r\n'
'544923708'	'755503760449896448'	'16-year-old becomes the youngest black pilot to cross the U.S.:\r\n'
'3646190655'	'741399992582176768'	'Had the pleasure of having my picture taken with @runmeb @BellinRun\r\n'
'52763922'	'657657209275469824'	Good job on #finebaum today, @BarrettAJones I may be in jersey now but I'm still available if you need an assistant!\r\n
'1485029462'	'761213432007892992'	'#WheelsUp has @CaroWozniacki smiling! #UpTheWayYouFly\r\n'
'887719142'	'445223850998259714'	'A Swiss mountain jump shot! @TribecaFilmIns #tribecahacks STORYMATTER @CineGlobe @CERN\r\n'
'3044971245'	'569176191548174336'	'#RIP I had a yellow 240Z.\r\n'
'899557800'	'759032048413736960'	'Weekend is already starting on your #NewMito. Where will the #AlfaRomeo spirit bring you? #LaMeccanicaDelleEmozioni\r\n'
'514538551'	'765381325775790081'	Watch @joeyBADASS' new commercial for adidas Originals\r\n
'15382246'	'763352498723811328'	.@JulietaGranada's #OlympicGolf bag. Bimba will be making the trip to Rio!\r\n
'44685125'	'751090911862403072'	'New FINmobile makes its 1st trip to Van Island/Shawnigan Lake for the last day of @VanCanucks Dev. Camp #Roadtrip\r\n'
'30898869'	'763781278332321793'	'With a variety of #safety features and easy installation, the B-Safe 35 is an ideal choice for baby. #PTPAParty\r\n'
'4349649612'	'760288303417405440'	'Do we have any outdoor business followers in the #seattle #washington area of the #PNW? If so, DM us!\r\n'
'3220147582'	'638383422294106112'	'Getting jacked @CUGradStudies #gradstudents #carletonuniversity\r\n'
'1525500385'	'639265021613051904'	'First time clearing out since 1492\r\n'
'27045720'	'761990555916115969'	Welcome to #Georgia's fan day. Please do not be a fan.\r\n
'125441429'	'443118734946078720'	Sunrise over Sam's Gap, TN. Breathtaking.\r\n
'1450364286'	'760600643077754880'	'Come join @DunwoodyPolice @SandySprings_PD @JohnsCreekPD @BrookhavenGA_PD at @ShopAtPerimeter for #NationalNightOut\r\n'
'91478624'	'762196585061253120'	'Chinese consumers are dividing American car brands into two categories: Winners and losers.\r\n'
'41980825'	'759034394711560192'	'Hello, Clinton Kaine bus tour\r\n'
'3233123874'	'677618492665819136'	'Your hydration pack would smile if she was wearing u too  #HippieHydrationCollection #LifesAPartyStayHydrated \r\n'
'225539878'	'695680575512776704'	'Blast from the past!!! #tbt @ESPNCaddie @georgelopez #lannywadkins #halsutton need to defend the title next year!!\r\n'
'21249970'	'764857276469354496'	'#OakFire update off Uvas Rd & Watsonville Rd. west of Morgan Hill (Santa Clara Co) is 25 acres and 90% contained.\r\n'
'222244563'	'735099038119387136'	'Special guest @naomismallsduh this Sunday at @SenorFrogs NYC #DragRace #DragBrunch Reserve:\r\n'
'10921932'	'763798658945024000'	'All the things your doctor wishes you knew about running in the heat,\r\n'
'289470232'	'738153484411756544'	Here's our 1st 2-seater ride along heading out w/ @PippaMann #getinvolved\r\n
'21681809'	'755413386691653632'	'My Jake Ryan #sixteencandles ? @BillRancic\r\n'
'333786656'	'370195129983709184'	'Kentavious Caldwell -Pope. Former Basketball Player, just drafted to Detroit Pistons ?? @ALDR3900\r\n'
'16953311'	'758424214491791360'	'Kudos to a dedicated group of InComm employees who volunteered at the Park this morning.\r\n'
'18885301'	'742005958705065985'	'Managers from nearby @Publix just arrived with a truckload of water, OJ, baked goods, etc.\r\n'
'132344326'	'762742294630006785'	'.@MidEasternist Where have you BEEN? Welcome to #CargoGate and the @WSJ article that started it all:\r\n'
'328492561'	'756646914007773184'	'Pls RT. If u c buses parkd bet WPlains & Edsa, @LTFRB is conducting inventory of PUBs. Data needed 2 revw franchise\r\n'
'2798897076'	'652851469670969344'	'@joshtempletv Thanks for supporting the cause! #rockthetee #spreadhope\r\n'
'18219344'	'733994843156930560'	'Bertie and I are doing a #FacebookLive from Mexico on the National Geographic Facebook page at 11 am EST! Come hang.\r\n'
'15346069'	'611639478977982465'	'From @ABCSharkTank to downtown Roswell GA  @CMLobster\r\n'
'40269156'	'742741518369337344'	'Zara Phillips carries on the bizarre Ascot radition?P. Beatrice started in 2012 of curtseying perilously low.\r\n'
'2428976216'	'751109701631406080'	'Entry now open for the 2017 Lindley 10k which will take place on Sunday 25th June 2017. #Lindley #Lindley10k\r\n'
'1261181221'	'756743773132947460'	'Brand symbol stands for Mazda determination to pursue ongoing improvements to drive powerful, continuous growth.\r\n'
'637282322'	'764287177870053377'	'Can we talk about how adorable my interns are? \r\n'
'4501536083'	'763822998679945217'	'.@sirenldn playing straight techno til 10pm, tune in  -\r\n'
'247416563'	'675119709340221442'	'#reframeclimate w/ @MagnumFND @Dysturbofficial for #COP21 Text\r\n'
'4348237453'	'708970118106066945'	'Good times.\r\n'
'68761966'	'594906314322489344'	These Minnesotans are #4cleanwater. Plz support the EPA's clean water rule @amyklobuchar\r\n
'40390377'	'746177259418062848'	'Draft coverage on @ESPNRadio about to get lit A.F. Still here for the second round. Listen on your phone.\r\n'
'2751223204'	'597024282544381952'	'TY @LevitreAndy for coming out has the honorary starter for the #Shoneys5K!\r\n'
'3313290977'	'764094228418801664'	'Would-be kidnapper tries to snatch toddler from stroller in Glendale\r\n'
'865341985'	'748167542817067008'	'Special Feature: Humanity feeds a starved South Sudan. By @MattBlack_Matt #migrantcrisis\r\n'
'81582256'	'761168586471776256'	'Detective Constable Scott Westbrook-Smith @ASPolice talks to reporters about David Green, sentenced after 33 years\r\n'
'133936708'	'743220621526458368'	'Beig a super nerd at the @MonsterProducts booth at E3. These headphones have some serious sonic rock. ??\r\n'
'27967896'	'763037538575613952'	'Summer sale, from August 9-18, get up to 40% off a huge selection of summer gear & apparel:\r\n'
'105892589'	'764178040423350272'	'OTP night! #roadtrip #daculabound\r\n'
'1703616985'	'765022835261792260'	You wouldn't see a Hillary supporter doing this #BabesForTrump\r\n
'16309025'	'752772015472476160'	RT @reuterspictures A woman protesting Alton Sterling's death is detained in Baton Rouge (ph: Jonathan Bachman)\r\n
'625122448'	'764636285562556416'	'this is my new aesthetic\r\n'
'725408684822659072'	'744834551772381188'	'More information released in fatal crash in Austell @aiyanacristal has more on @cbs46 News\r\n'
'101885859'	'759414009821007872'	It's a beautiful day for some urban design! #DMUrbanInno\r\n
'1400086176'	'752611649538908160'	'.@hornets HC Steve Clifford joins The Pulse on @ESPNCharlotte with Bobby & Chris outside @BBTBallpark\r\n'
'102269611'	'749093244802174979'	You could've just apologized for not seeing me instead of being a defensive prick. Oh, you're a driving instructor?!\r\n
'135872709'	'742015361701322756'	'Wills Kate and Harry\r\n'
'131387085'	'673044440399785984'	'Love my seat mates!\r\n'
'29082169'	'641779805147410432'	'Excited to see you again tonight @pennjillette!!\r\n'
'389858675'	'732619245104693248'	'@MNAFLCIO President calling the House to lead for our families this session. #mnleg #paidfamilyleave\r\n'
'70771229'	'739878928433565696'	'Coming up @MSNBC @RobertsMSNBC #CaliforniaPrimary from Santa Monica - is this end of the trail?. @kasie @KatyTurNBC\r\n'
'50773530'	'600063182107971585'	'Ersty played it right......every day....thanks for making me a better Coach !!!\r\n'
'221061384'	'744317899351822336'	'Delayed reading to 830pm cus fire next door\r\n'
'4822448092'	'763813044954787840'	'#HuddersfieldHour #KirkleesHour #HalifaxHour 24hr Vigil. We made it thru a cold night to Sat morning #handsoffhri\r\n'
'3000016040'	'686527575934529537'	'All I see are red lights! Atlanta traffic! I need a Starbucks. #loveformyhome#badtraffic#atlantatraffic#i??Atlanta!\r\n'
'810509'	'649003232719695873'	'Back to his roots.  Don Henley returns with Cass County. . Enjoy:\r\n'
'16211434'	'762094676673527808'	'This mobile cocktail bar is freaking awesome:\r\n'
'2818984503'	'541910655692185602'	Guess what's inside those boxes! . Share your thought with #phantomrising\r\n
'21742629'	'735385216433463296'	'A few mins before rush hour....gotta run\r\n'
'844364659'	'761307953660125184'	'Several structures collapse near Kerlerec and N. Claiborne as severe weather rolls through\r\n'
'524491516'	'309687924625133568'	'why am I not surprised... @aidan_sweeney\r\n'
'18192214'	'764130773251268608'	'#TeamNYRR is proud of @MollyHuddle for setting a new American 10K record of 30:13.17!\r\n'
'15825476'	'761244754189307904'	"'""Jimmy, I realize you\'re new here, but at Simms Brothers, we DO NOT take the hearse through the drive-thru!""\r\n'"
'208447030'	'753922594055729152'	'LATEST: Death toll climbs to 84 as investigators comb scene for clues behind #NiceAttack\r\n'
'21656599'	'765333736397217793'	'Teen dead after confronting men about stolen bike:\r\n'
'22278303'	'763722764402368512'	'Reading: Consequences of flawed design, Valeant criminal probe, and Medicare $$ for docs.\r\n'
'606770013'	'752874323694661632'	'Stumbled across the new @pekingduk x @TakuBeats collab\r\n'
'1334339822'	'720112773187903490'	'What a special place we visited today! FDNY Ladder 10! @PresidentsCup\r\n'
'478271660'	'746874983910039552'	'John Hewson speaks at rally calling for more action on climate change in Wentworth - the electorate he once held\r\n'
'13049362'	'764696919507603456'	'Violence erupts following fatal police shooting in Milwaukee.\r\n'
'14594844'	'764214817666236420'	"'""almost""\r\n'"
'150347056'	'686804719436615680'	'Not one to get star-struck but sometimes you just gotta recognize! #KevinDillon AKA #JohnnyDrama Big fan! #VICTORY\r\n'
'258267095'	'753444299040108544'	'Love these! #MMSThrowback #ad\r\n'
'1459900050'	'730139799877734400'	Happy Birthday to the man I owe it all to! My biggest supporter and mentor. The man I strive to be. Love you pop's!\r\n
'1602835640'	'763038311904489473'	'@jdavnie @keithellison I voted for @MateoErickson and Michele MacDonald. #BuildAmericaFirst #MNPrimary\r\n'
'273971766'	'747895425722687489'	'Whats better than a father-son road trip? A father-son road trip in a Lamborghini.\r\n'
'11348282'	'764544806135721985'	'Studying cells, animals & plants on @Space_Station help us on Earth too. See how:\r\n'
'20702211'	'763843327242285056'	'?? New Toy Alert ?? About to try the @redrockmicro Retroflex out today.\r\n'
'31316215'	'761599885632217088'	"'While you\'re at it, check out @baileymyown\'s debut single, ""Own It"", on YouTube right now:\r\n'"
'538904089'	'314662647255670784'	'@LTFRB_Official Chairman Jacob, I salute you for being an accommodating leader willing to hear our problems and try out solution.-soluboa\r\n'
'417003912'	'765193424010092544'	POLICE: 15 year old's who wounded Marietta Officer are gang members w/ stolen gun; still charged as juveniles.@wsbtv\r\n
'381164375'	'763784293999079425'	'Klarity from @UCLEARWorld is a great, subtle, and compact hearing assistant that amplifies sound! #PTPAParty\r\n'
'2097571'	'762533904955772928'	Japan's Emperor Akihito addresses his advancing age in rare televised speech\r\n
'195764368'	'755000879409836032'	'Our airport runway SMH \r\n'
'28187891'	'645336115851993089'	@Local24Katina bust in' a move with the Great Folk #cyf2015 Teen can GET DOWN She GOT MOVES! Don't You Stop Dancin'\r\n
'834705901'	'758733171223474176'	'Taking #minivanmom to the next level @Melissa_Dell @Kia #thenewkia\r\n'
'1013800890'	'754346602936963072'	'I run into this guy at #LukeBryan 2500mls & 16 yrs away from our high school in the sticks! #smallworld @henscheljl\r\n'
'42487860'	'664886874608001024'	'I interviewed @tigers pitcher @DanielNorris18 abt surfing, van life, cancer & living simply:\r\n'
'3191399637'	'762331945145479168'	'Nice.\r\n'
'1525500385'	'637059795854344192'	'33rd season.\r\n'
'144391708'	'723954772684890113'	'Burbank parade\r\n'
'24364436'	'741989348724346880'	'Hamilton cast gettin ready for the Tony rehearsals \r\n'
'899557800'	'757954228581195776'	'This summer, visit the Museo Storico #AlfaRomeo in Arese and discover our history!\r\n'
'61204331'	'739943232151408641'	'GOOOAL! We had a great time with the kids of @BGCB_Boston unveiling a new place to play w/ @NERevolution! #SNHUgoals\r\n'
'539337235'	'764213849998389248'	'Yassssss. Ericka gets us. @Jacobhasacat\r\n'
'722791015'	'759564403842965508'	'Congratulations @_double0_  - 16U Softball Champions #ohshedidthat\r\n'
'118935599'	'764632167221563393'	'LOOK: Lucena media waiting at police stn for the surrender of an alleged bigtime drug pusher in the city.\r\n'
'363763464'	'438769117316022272'	'Success With Honor! @PSURoadWarriors #Chipotle\r\n'
'2866462500'	'735009756260098048'	'I HAD TO STOP BY A 7/11!!! Hahahahaha! WHAMMOS \r\n'
'22842014'	'765550217785544705'	Man found biting off pieces of a person's face who was stabbed to death in #MartinCounty.\r\n
'2533374678'	'754503910035853312'	'Enjoyed giving a legislative update in Geneva this evening to a great group of people - Flatlanders ABATE MN. #mnleg\r\n'
'768157045'	'636654432411742212'	'A6 Full length, unlined @goretextna coat Q6: How do you prepare for weather #TSTravelTips @thetblogger @VisitBritain\r\n'
'43769311'	'764230417964818432'	Gotta let the kids know that it's always a good day to #BeatUpJohnCena right @AJStylesOrg?????\r\n
'20702211'	'764465489645019137'	'A woman just approached me at the airport & said her son recognized me and wanted a picture w/ me lol. Look what you started @ProSyndicate.\r\n'
'3579012568'	'763822968996634624'	Watch the premiere of @JacobSartorius's #HitorMiss music video now  #HitorMissMusicVideo\r\n
'733061856772816896'	'760795569925283840'	'Pusha T Releases Tee In Support Of Hillary Clinton, With Proceeds Going To Prison Reform\r\n'
'1573873243'	'760582363327803393'	'In some places in the world, people need armed guards to pray safely. . Alexandria. #Egypt\r\n'
'119771348'	'752573693121949696'	'Having fun with my colleague and friend @AmandaJDavies on CTW in Paris post @euro2016\r\n'
'2374369164'	'657552043197005824'	'The East Main Lift Station Project is now complete behind the John IGA/Little John complex.\r\n'
'25103000'	'761753677543641088'	'11 Surprising Things All Successful Marriages Have\r\n'
'3065900255'	'758079037742968833'	'.@billclinton speaks tonight at #DemsInPhilly. Catch his speech about Hillary live here:\r\n'
'611289409'	'762852592800059392'	'Advice for incoming freshmen\r\n'
'993979350'	'759509426013429760'	It's been a week without bae but it feels like forever????\r\n
'2441831348'	'765492054269030400'	'A Coca Cola delivery truck in 1909.\r\n'
'700140241'	'764873398342123520'	'At least three people dead, one missing in Louisiana floods.\r\n'
'233386754'	'757048149177405440'	'Keeping it classy at #SDCC2016 @Gotham #trashy\r\n'
'3273378864'	'730759502992158721'	'Premiering now: Need A Friend (Wye Oak Remix).  #newmusic #remix #ELVY #wyeoak @wyeoak\r\n'
'4348237453'	'709008463485997056'	'Just cruising around Parliament square with a buddy\r\n'
'625122448'	'764636731656331264'	'when @meghancurrrie drops a new vid outta nowhere\r\n'
